shift_date,shift,zone_id,zone_lat,zone_lon,predicted_EIS
2024-04-09,evening (14:00-22:00),12.98_77.64,12.98,77.64,0.18769869
2024-04-09,evening (14:00-22:00),12.875_77.595,12.875,77.595,0.17348754
2024-04-09,evening (14:00-22:00),12.975_77.59,12.975,77.59,0.16082971
2024-04-09,evening (14:00-22:00),12.93_77.69,12.93,77.69,0.1578095
2024-04-09,evening (14:00-22:00),13.095_77.6,13.095,77.6,0.1569437
2024-04-09,evening (14:00-22:00),12.895_77.635,12.895,77.635,0.14649084
2024-04-09,evening (14:00-22:00),13.095_77.595,13.095,77.595,0.14315319
2024-04-09,evening (14:00-22:00),13.035_77.625,13.035,77.625,0.1279113
2024-04-09,evening (14:00-22:00),12.97_77.545,12.97,77.545,0.120356336
2024-04-09,evening (14:00-22:00),12.915_77.605,12.915,77.605,0.11474799
2024-04-09,evening (14:00-22:00),12.965_77.715,12.965,77.715,0.10786624
2024-04-09,evening (14:00-22:00),12.945_77.7,12.945,77.7,0.08442559
2024-04-09,evening (14:00-22:00),12.96_77.595,12.96,77.595,0.07403166
2024-04-09,morning (06:00-14:00),12.98_77.61,12.98,77.61,383.78055
2024-04-09,morning (06:00-14:00),12.975_77.58,12.975,77.58,311.5391
2024-04-09,morning (06:00-14:00),12.975_77.575,12.975,77.575,254.54054
2024-04-09,morning (06:00-14:00),12.98_77.575,12.98,77.575,235.08412
2024-04-09,morning (06:00-14:00),13.01_77.555,13.01,77.555,197.11899
2024-04-09,morning (06:00-14:00),13.0_77.55,13.0,77.55,159.991
2024-04-09,morning (06:00-14:00),12.965_77.575,12.965,77.575,157.9389
2024-04-09,morning (06:00-14:00),12.935_77.69,12.935,77.69,131.08559
2024-04-09,morning (06:00-14:00),12.985_77.61,12.985,77.61,121.015396
2024-04-09,morning (06:00-14:00),12.965_77.58,12.965,77.58,120.72897
2024-04-09,morning (06:00-14:00),13.07_77.59,13.07,77.59,118.73926
2024-04-09,morning (06:00-14:00),12.98_77.58,12.98,77.58,115.42583
2024-04-09,morning (06:00-14:00),12.985_77.605,12.985,77.605,110.81272
2024-04-09,morning (06:00-14:00),12.98_77.605,12.98,77.605,110.23709
2024-04-09,morning (06:00-14:00),13.01_77.55,13.01,77.55,106.893
2024-04-09,morning (06:00-14:00),12.97_77.575,12.97,77.575,105.422066
2024-04-09,morning (06:00-14:00),12.995_77.67,12.995,77.67,96.9131
2024-04-09,morning (06:00-14:00),12.975_77.545,12.975,77.545,91.54651
2024-04-09,morning (06:00-14:00),13.185_77.68,13.185,77.68,89.98544
2024-04-09,morning (06:00-14:00),12.965_77.585,12.965,77.585,88.56845
2024-04-09,morning (06:00-14:00),13.01_77.695,13.01,77.695,85.826195
2024-04-09,morning (06:00-14:00),12.975_77.55,12.975,77.55,84.038345
2024-04-09,morning (06:00-14:00),13.0_77.57,13.0,77.57,83.22679
2024-04-09,morning (06:00-14:00),12.945_77.57,12.945,77.57,82.51075
2024-04-09,morning (06:00-14:00),12.96_77.575,12.96,77.575,72.88584
2024-04-09,morning (06:00-14:00),12.96_77.58,12.96,77.58,71.506424
2024-04-09,morning (06:00-14:00),12.94_77.695,12.94,77.695,65.27281
2024-04-09,morning (06:00-14:00),12.985_77.555,12.985,77.555,61.596222
2024-04-09,morning (06:00-14:00),12.99_77.555,12.99,77.555,61.050495
2024-04-09,morning (06:00-14:00),13.035_77.59,13.035,77.59,57.381554
2024-04-09,morning (06:00-14:00),12.935_77.615,12.935,77.615,54.754574
2024-04-09,morning (06:00-14:00),12.965_77.54,12.965,77.54,53.827274
2024-04-09,morning (06:00-14:00),13.0_77.555,13.0,77.555,51.5064
2024-04-09,morning (06:00-14:00),12.995_77.695,12.995,77.695,49.61872
2024-04-09,morning (06:00-14:00),13.0_77.675,13.0,77.675,47.186928
2024-04-09,morning (06:00-14:00),13.005_77.57,13.005,77.57,45.381733
2024-04-09,morning (06:00-14:00),13.02_77.53,13.02,77.53,42.69433
2024-04-09,morning (06:00-14:00),12.995_77.555,12.995,77.555,41.760815
2024-04-09,morning (06:00-14:00),12.995_77.57,12.995,77.57,40.689804
2024-04-09,morning (06:00-14:00),12.975_77.57,12.975,77.57,39.315304
2024-04-09,morning (06:00-14:00),12.98_77.6,12.98,77.6,39.308968
2024-04-09,morning (06:00-14:00),12.84_77.645,12.84,77.645,39.04027
2024-04-09,morning (06:00-14:00),12.975_77.56,12.975,77.56,38.722816
2024-04-09,morning (06:00-14:00),13.015_77.555,13.015,77.555,38.51966
2024-04-09,morning (06:00-14:00),12.93_77.685,12.93,77.685,38.44867
2024-04-09,morning (06:00-14:00),12.99_77.55,12.99,77.55,38.384964
2024-04-09,morning (06:00-14:00),12.95_77.7,12.95,77.7,37.685837
2024-04-09,morning (06:00-14:00),12.955_77.545,12.955,77.545,36.07416
2024-04-09,morning (06:00-14:00),12.93_77.585,12.93,77.585,34.197712
2024-04-09,morning (06:00-14:00),12.905_77.63,12.905,77.63,34.054012
2024-04-09,morning (06:00-14:00),12.97_77.58,12.97,77.58,33.964775
2024-04-09,morning (06:00-14:00),13.01_77.57,13.01,77.57,32.92361
2024-04-09,morning (06:00-14:00),12.97_77.535,12.97,77.535,31.229939
2024-04-09,morning (06:00-14:00),12.995_77.55,12.995,77.55,31.146488
2024-04-09,morning (06:00-14:00),12.94_77.585,12.94,77.585,30.883024
2024-04-09,morning (06:00-14:00),12.99_77.59,12.99,77.59,30.523958
