zone_id,hour_bucket,predicted_EIS,p_occur,zone_lat,zone_lon
12.93_77.68,2024-04-09 01:00:00+00:00,0.25516555,0.035331108,12.93,77.68
12.93_77.685,2024-04-09 01:00:00+00:00,0.31324223,0.03754218,12.93,77.685
12.93_77.69,2024-04-09 01:00:00+00:00,0.16315804,0.02435825,12.93,77.69
12.945_77.57,2024-04-09 01:00:00+00:00,1.6052535,0.22898412,12.945,77.57
12.945_77.595,2024-04-09 01:00:00+00:00,0.28918925,0.043318603,12.945,77.595
12.945_77.7,2024-04-09 01:00:00+00:00,0.095526375,0.012774309,12.945,77.7
12.94_77.585,2024-04-09 01:00:00+00:00,0.35792372,0.037686497,12.94,77.585
12.94_77.695,2024-04-09 01:00:00+00:00,0.2908433,0.031332374,12.94,77.695
12.94_77.7,2024-04-09 01:00:00+00:00,0.25894502,0.03855044,12.94,77.7
12.955_77.545,2024-04-09 01:00:00+00:00,0.9525527,0.112170786,12.955,77.545
12.955_77.585,2024-04-09 01:00:00+00:00,0.27781886,0.040133394,12.955,77.585
12.955_77.7,2024-04-09 01:00:00+00:00,0.5511577,0.101377435,12.955,77.7
12.95_77.54,2024-04-09 01:00:00+00:00,0.17339583,0.02805761,12.95,77.54
12.95_77.7,2024-04-09 01:00:00+00:00,0.51640517,0.057327334,12.95,77.7
12.965_77.535,2024-04-09 01:00:00+00:00,0.20899563,0.028165495,12.965,77.535
12.965_77.54,2024-04-09 01:00:00+00:00,0.49870074,0.046906017,12.965,77.54
12.965_77.555,2024-04-09 01:00:00+00:00,0.23113777,0.03720048,12.965,77.555
12.965_77.575,2024-04-09 01:00:00+00:00,12.008933,0.8076249,12.965,77.575
12.965_77.58,2024-04-09 01:00:00+00:00,5.4817867,0.53963375,12.965,77.58
12.965_77.585,2024-04-09 01:00:00+00:00,1.115598,0.080312654,12.965,77.585
12.965_77.64,2024-04-09 01:00:00+00:00,0.18363109,0.025214946,12.965,77.64
12.965_77.715,2024-04-09 01:00:00+00:00,0.21636632,0.029522173,12.965,77.715
12.965_77.72,2024-04-09 01:00:00+00:00,0.092469096,0.010399982,12.965,77.72
12.96_77.51,2024-04-09 01:00:00+00:00,0.16925494,0.026411144,12.96,77.51
12.96_77.53,2024-04-09 01:00:00+00:00,0.069097266,0.0052648587,12.96,77.53
12.96_77.575,2024-04-09 01:00:00+00:00,0.4977209,0.05317776,12.96,77.575
12.96_77.58,2024-04-09 01:00:00+00:00,0.6218455,0.063778006,12.96,77.58
12.96_77.585,2024-04-09 01:00:00+00:00,0.29574972,0.044678215,12.96,77.585
12.96_77.595,2024-04-09 01:00:00+00:00,0.13973561,0.020256754,12.96,77.595
12.96_77.6,2024-04-09 01:00:00+00:00,0.16615221,0.025601987,12.96,77.6
12.96_77.645,2024-04-09 01:00:00+00:00,0.23394498,0.033807863,12.96,77.645
12.96_77.65,2024-04-09 01:00:00+00:00,0.20351674,0.03217295,12.96,77.65
12.96_77.7,2024-04-09 01:00:00+00:00,0.25116116,0.04069997,12.96,77.7
12.96_77.715,2024-04-09 01:00:00+00:00,0.18788777,0.027880289,12.96,77.715
12.975_77.54,2024-04-09 01:00:00+00:00,0.18893413,0.028206423,12.975,77.54
12.975_77.545,2024-04-09 01:00:00+00:00,0.93959755,0.062847376,12.975,77.545
12.975_77.55,2024-04-09 01:00:00+00:00,0.82000864,0.08345901,12.975,77.55
12.975_77.56,2024-04-09 01:00:00+00:00,0.39546952,0.050450675,12.975,77.56
12.975_77.57,2024-04-09 01:00:00+00:00,0.45896593,0.054352183,12.975,77.57
12.975_77.575,2024-04-09 01:00:00+00:00,8.974465,0.70497674,12.975,77.575
12.975_77.58,2024-04-09 01:00:00+00:00,7.6117716,0.64344096,12.975,77.58
12.975_77.59,2024-04-09 01:00:00+00:00,0.24652678,0.0353203,12.975,77.59
12.975_77.61,2024-04-09 01:00:00+00:00,0.19004844,0.02878672,12.975,77.61
